Datum,Volatilität
2010-09-01,0.8820635718600237
2010-09-02,0.8823098104592456
2010-09-03,0.8749852352564844
2010-09-04,0.8475689473056077
2010-09-05,0.8456615174164742
2010-09-06,0.8236378188021933
2010-09-07,0.8173544498934113
2010-09-08,0.6141392888377903
2010-09-09,0.6142250311205032
2010-09-10,0.6002903125250588
2010-09-11,0.5892299652503444
2010-09-12,0.5323503966364719
2010-09-13,0.5157797147864489
2010-09-14,0.5091803222402933
2010-09-15,0.5156528133631634
2010-09-16,0.464760943881726
2010-09-17,0.4814152340111332
2010-09-18,0.49567680403466585
2010-09-19,0.5033343577958019
2010-09-20,0.5011578828368947
2010-09-21,0.50258504967062
2010-09-22,0.5002679463447933
2010-09-23,0.5002728029339502
2010-09-24,0.5002385357073514
2010-09-25,0.49875601630540684
2010-09-26,0.4953119450752538
2010-09-27,0.4935910196538323
2010-09-28,0.49376382299772453
2010-09-29,0.4902639686109098
2010-09-30,0.40364814114767333
2010-10-01,0.368982992739337
2010-10-02,0.36905807540095803
2010-10-03,0.3423501292373542
2010-10-04,0.3316648161202782
2010-10-05,0.32883264220314107
2010-10-06,0.33789408949699135
2010-10-07,0.4007602575304446
2010-10-08,0.9685706847233383
2010-10-09,0.9890876781032202
2010-10-10,0.9901980084869156
2010-10-11,0.994021631201898
2010-10-12,0.980571424864479
2010-10-13,1.0244969952214655
2010-10-14,1.0345912594508462
2010-10-15,1.0240975403388894
2010-10-16,1.042414346569692
2010-10-17,1.0175651489935291
2010-10-18,1.017259651784491
2010-10-19,1.0454567951801725
2010-10-20,1.0420777206671135
2010-10-21,1.063326162436317
2010-10-22,1.0802903079607258
2010-10-23,1.079713894583859
2010-10-24,1.102532986140528
2010-10-25,1.1697922202864028
2010-10-26,1.2194927495991899
2010-10-27,1.3825147106473439
2010-10-28,1.434153684047969
2010-10-29,1.4426269611712683
2010-10-30,1.43672041377846
2010-10-31,1.4523067117922142
2010-11-01,1.4448303244324834
2010-11-02,1.4462955767591719
2010-11-03,1.4485278684689853
2010-11-04,1.51557986565921
2010-11-05,1.537036277506455
2010-11-06,1.9679916104774935
2010-11-07,1.944906454212763
2010-11-08,2.339367557570802
2010-11-09,2.4175495055184393
2010-11-10,2.440378535041539
2010-11-11,2.464219514644704
2010-11-12,2.5100156249059533
2010-11-13,2.5009440233903484
2010-11-14,2.50209218471593
2010-11-15,2.5023151749659176
2010-11-16,2.610339523319709
2010-11-17,2.609184456707054
2010-11-18,2.627265588767192
2010-11-19,2.627067097224183
2010-11-20,2.6237571708785024
2010-11-21,2.617440167355944
2010-11-22,2.6174788417417836
2010-11-23,2.6161381867468987
2010-11-24,2.5895590077196577
2010-11-25,2.5653326476006533
2010-11-26,2.463683914924543
2010-11-27,2.4417640968551044
2010-11-28,2.435454812747309
2010-11-29,2.5024456032714895
2010-11-30,2.5248574879786254
2010-12-01,2.541819100878697
2010-12-02,2.5685042570978207
2010-12-03,2.5695363886310734
2010-12-04,2.598799808328377
2010-12-05,2.5703114710451596
2010-12-06,2.129786636082112
2010-12-07,2.15275896855586
2010-12-08,1.8237413624737537
2010-12-09,1.8570386167633437
2010-12-10,1.7962545554957847
2010-12-11,1.8228440825307068
2010-12-12,1.705832150851401
2010-12-13,1.7105023621029554
2010-12-14,1.7298459360545573
2010-12-15,1.7289987411861123
2010-12-16,1.6139020625447627
2010-12-17,1.6180895356228349
2010-12-18,1.526815867183864
2010-12-19,1.5172658040900973
2010-12-20,1.5640409266302153
2010-12-21,1.6036643523951546
2010-12-22,1.6041758108615038
2010-12-23,1.6036332010641305
2010-12-24,1.6036179163539852
2010-12-25,1.6039765611071672
2010-12-26,1.6170684423168142
2010-12-27,1.6170612127835862
2010-12-28,1.622008929831362
2010-12-29,1.5297788201971247
2010-12-30,1.4816013021135759
2010-12-31,1.456899092935646
2011-01-01,1.4086711265408733
2011-01-02,1.4068876868335867
2011-01-03,1.2003896325377692
2011-01-04,1.1589543175072032
2011-01-05,1.14269397992627
2011-01-06,1.0609152104311643
2011-01-07,1.0815499615537003
2011-01-08,0.8541837408449308
2011-01-09,0.8557344562187759
2011-01-10,0.7851386163531638
2011-01-11,0.7680974168862948
2011-01-12,0.7703761913691852
2011-01-13,0.7420017975319291
2011-01-14,1.0484222378553985
2011-01-15,1.0573582269491826
2011-01-16,1.0401448671166384
2011-01-17,1.1150118602193495
2011-01-18,1.19110932804228
2011-01-19,1.1400543775397405
2011-01-20,1.2903097880845136
2011-01-21,1.3029118909634356
2011-01-22,1.3081871570527135
2011-01-23,1.3073015801583472
2011-01-24,1.32971932651315
2011-01-25,1.3285992305725043
2011-01-26,1.327611423039246
2011-01-27,1.3186574533824662
2011-01-28,1.315013743405361
2011-01-29,1.3180659736522975
2011-01-30,1.3428170919392848
2011-01-31,1.3595410560346344
2011-02-01,1.6599787888853825
2011-02-02,1.6524460696607248
2011-02-03,1.6674251995531382
2011-02-04,1.7256561156075476
2011-02-05,1.7492048555136426
2011-02-06,1.7567145102727535
2011-02-07,1.7615305916593804
2011-02-08,1.75757026829178
2011-02-09,1.8165774257378837
2011-02-10,1.8804617497665277
2011-02-11,1.8755306232583608
2011-02-12,1.8723377599909272
2011-02-13,1.7599109537128133
2011-02-14,1.7442120181086433
2011-02-15,1.7503450071418019
2011-02-16,1.6901719799662738
2011-02-17,1.615714522007843
2011-02-18,1.7328673418738176
2011-02-19,1.6063725980409047
2011-02-20,1.667592645640189
2011-02-21,1.669351821105949
2011-02-22,1.6683485294693088
2011-02-23,1.6473847350886717
2011-02-24,1.6585068051925413
2011-02-25,1.70871290141396
2011-02-26,1.7096819987450929
2011-02-27,1.7405394018135623
2011-02-28,1.7467007968138772
2011-03-01,1.7382733256330216
2011-03-02,1.7258169898255682
2011-03-03,1.4176992663837837
2011-03-04,1.4276349039905765
2011-03-05,1.4188187719224117
2011-03-06,1.3128499448625521
2011-03-07,1.2398138899494309
2011-03-08,1.2388657457590309
2011-03-09,1.2385321004884635
2011-03-10,1.2621849526052062
2011-03-11,1.121180834922165
2011-03-12,1.0764085591244343
2011-03-13,1.0312051043946113
2011-03-14,1.030272437411282
2011-03-15,1.0303087650399274
2011-03-16,1.0265518072361692
2011-03-17,1.0324089353488826
2011-03-18,1.032386289798756
2011-03-19,1.0505491300188619
2011-03-20,0.9382157594251196
2011-03-21,0.9199113296503829
2011-03-22,0.8759425871283602
2011-03-23,0.8906985715890293
2011-03-24,0.8814735429485041
2011-03-25,0.8761292070302209
2011-03-26,0.8017203652637258
2011-03-27,0.7547507239598538
2011-03-28,0.7336928555154802
2011-03-29,0.6935586390035107
2011-03-30,0.6851086615618466
2011-03-31,0.6378013242471147
2011-04-01,0.6313210354578286
2011-04-02,0.6336378923267815
2011-04-03,0.6211303333778119
2011-04-04,0.7638694333973167
2011-04-05,0.7850536318997167
2011-04-06,0.8022293761207224
2011-04-07,0.805495726966897
2011-04-08,0.8054774172730435
2011-04-09,0.7555640228661055
2011-04-10,0.7362704528230254
2011-04-11,0.7376163911314428
2011-04-12,0.8337687736194557
2011-04-13,0.8690151137533421
2011-04-14,0.9040029363323424
2011-04-15,0.9037082533545521
2011-04-16,0.9071163088283367
2011-04-17,0.9201697264064357
2011-04-18,0.8866631651425073
2011-04-19,0.8732220338002679
2011-04-20,0.8994994478265889
2011-04-21,0.8956244897290392
2011-04-22,1.0084771205860648
2011-04-23,1.1667338326859404
2011-04-24,1.1875454449244862
2011-04-25,1.1945970889586695
2011-04-26,1.2427933968885743
2011-04-27,1.233004627828975
2011-04-28,1.2946280563414247
2011-04-29,1.5084662128722564
2011-04-30,1.5842167332023471
2011-05-01,1.7052004010786637
2011-05-02,1.7007358412184468
2011-05-03,1.6919152040058427
2011-05-04,1.571241424203082
2011-05-05,1.5921561545451162
2011-05-06,1.592865948928498
2011-05-07,1.5886044635885614
2011-05-08,1.5755319823412606
2011-05-09,1.5696737910484577
2011-05-10,2.007897329601022
2011-05-11,2.0509337160804435
2011-05-12,2.0595078550269386
2011-05-13,2.1675807616572413
2011-05-14,2.2761968563748893
2011-05-15,2.285113200721174
2011-05-16,2.299162173433329
2011-05-17,2.379626752584166
2011-05-18,2.4068347274974355
2011-05-19,2.4170422828122544
2011-05-20,2.5467510506660878
2011-05-21,2.549973792020048
2011-05-22,2.5294781329498788
2011-05-23,2.4839619702816447
2011-05-24,2.4638369714936883
2011-05-25,2.4524643647455378
2011-05-26,2.4340590585290043
2011-05-27,2.4523691734279907
2011-05-28,2.4377337575743856
2011-05-29,2.3099319766237927
2011-05-30,2.2402175705960685
