Date,Equity
2016-01-01,1000.0
2016-01-02,1006.8693824462873
2016-01-03,988.5863161114811
2016-01-04,972.8159596126634
2016-01-05,972.3175085455674
2016-01-06,960.3595632997362
2016-01-07,966.6635579815687
2016-01-08,1008.5491808190266
2016-01-09,990.1647224459019
2016-01-10,963.1091958711977
2016-01-11,955.8571952880036
2016-01-12,938.3353603111144
2016-01-13,935.8799626387566
2016-01-14,924.7655058674504
2016-01-15,872.3275701866421
2016-01-16,885.877134715065
2016-01-17,883.991088332622
2016-01-18,870.8497200149715
2016-01-19,865.9031046793742
2016-01-20,958.1893457258511
2016-01-21,1017.8512513165763
2016-01-22,926.820541042603
2016-01-23,923.4508646168814
2016-01-24,926.225007640331
2016-01-25,909.5242700623085
2016-01-26,907.3044945260667
2016-01-27,905.8260760090043
2016-01-28,879.4762344671378
2016-01-29,878.3374917434398
2016-01-30,876.3100498053401
2016-01-31,856.921079224074
2016-02-01,855.8848615073034
2016-02-02,854.3369181694493
2016-02-03,841.0680817760826
2016-02-04,847.2094153113603
2016-02-05,876.1389097411383
2016-02-06,831.0892797944381
2016-02-07,829.4914054030513
2016-02-08,827.7384464335706
2016-02-09,826.3496843607089
2016-02-10,825.636578549778
2016-02-11,819.8243659921172
2016-02-12,818.7882143822302
2016-02-13,842.4784761674948
2016-02-14,833.9452161195626
2016-02-15,841.6231921673881
2016-02-16,845.5410135679789
2016-02-17,883.2750722019332
2016-02-18,912.1115765769202
2016-02-19,881.6412900808036
2016-02-20,884.9277157900732
2016-02-21,888.2018277645482
2016-02-22,877.0350974644745
2016-02-23,878.9978050895608
2016-02-24,874.1433431012598
2016-02-25,873.3734186151721
2016-02-26,884.843640726341
2016-02-27,893.301522406512
2016-02-28,886.3750491050927
2016-02-29,885.6169505215913
2016-03-01,878.1830314058683
2016-03-02,883.1087496391381
2016-03-03,883.2386818282987
2016-03-04,885.985848136839
2016-03-05,878.2653712954085
2016-03-06,878.431508743569
2016-03-07,905.5199873180944
2016-03-08,916.3191334639062
2016-03-09,915.4711257565604
2016-03-10,920.8855639192917
2016-03-11,943.4326149873253
2016-03-12,924.7105083733946
2016-03-13,923.3458570652855
2016-03-14,920.640677334654
2016-03-15,916.6416624115373
2016-03-16,914.8633041533251
2016-03-17,923.8292889472384
2016-03-18,899.1085924641445
2016-03-19,896.8975762213993
2016-03-20,896.6715866384068
2016-03-21,883.1894347450963
2016-03-22,883.7287591426082
2016-03-23,895.2303402051131
2016-03-24,878.2086485224349
2016-03-25,876.548137954402
2016-03-26,875.897399566417
2016-03-27,900.5534505888946
2016-03-28,908.3620607485208
2016-03-29,884.5768862977926
2016-03-30,883.0892088996587
