Date,Equity
2016-01-01,1000.0000000000001
2016-01-02,998.9080464937383
2016-01-03,976.2192030147594
2016-01-04,960.5354139859561
2016-01-05,959.9180721331122
2016-01-06,945.1860256174273
2016-01-07,951.4009139961927
2016-01-08,1004.8314195104347
2016-01-09,981.3773514584973
2016-01-10,953.2303198248406
2016-01-11,945.682572302055
2016-01-12,924.0033156787222
2016-01-13,921.5358052556369
2016-01-14,910.3650587327613
2016-01-15,848.5804433263621
2016-01-16,861.312855223852
2016-01-17,859.537588104542
2016-01-18,843.9062252706414
2016-01-19,839.4019981305737
2016-01-20,948.2498327485234
2016-01-21,1018.6177235306843
2016-01-22,911.2489176516177
2016-01-23,908.0441383987246
2016-01-24,910.6834574196263
2016-01-25,894.7663882304543
2016-01-26,892.6473708463811
2016-01-27,891.2068027092992
2016-01-28,858.3280579268513
2016-01-29,857.2663350694463
2016-01-30,855.3719821805759
2016-01-31,832.1303091770765
2016-02-01,831.1983258502163
2016-02-02,829.8017634933522
2016-02-03,814.0532482029992
2016-02-04,819.5414328461911
2016-02-05,854.7477150393554
2016-02-06,799.9205115213081
2016-02-07,798.4637656699019
2016-02-08,796.8655771141089
2016-02-09,795.5995492327459
2016-02-10,794.9457592630706
2016-02-11,787.9511002453996
2016-02-12,787.0020629898393
2016-02-13,815.6129791011595
2016-02-14,805.303539994874
2016-02-15,814.5744269871143
2016-02-16,819.3037074977785
2016-02-17,864.8770636364253
2016-02-18,899.7037368085374
2016-02-19,862.901766916774
2016-02-20,866.0199026786753
2016-02-21,839.8936298095412
2016-02-22,827.2005016890314
2016-02-23,829.107299410601
2016-02-24,824.3899354162962
2016-02-25,823.6394318349442
2016-02-26,836.4914471296734
2016-02-27,845.9676751118759
2016-02-28,838.2056859667011
2016-02-29,837.4811291486953
2016-03-01,829.0026512392939
2016-03-02,833.7479610428234
2016-03-03,833.8729074178883
2016-03-04,836.519353433279
2016-03-05,829.0810468910184
2016-03-06,829.2397008961834
2016-03-07,857.6619636851842
2016-03-08,868.9920788987179
2016-03-09,868.1010135670253
2016-03-10,873.7823007792019
2016-03-11,897.4405768653203
2016-03-12,877.7957565360628
2016-03-13,876.5351289504682
2016-03-14,874.0361578417601
2016-03-15,869.7573716383397
2016-03-16,867.8545993490964
2016-03-17,877.4478448792668
2016-03-18,850.9976872568568
2016-03-19,848.9817547808041
2016-03-20,848.7757048519088
2016-03-21,837.4872496653599
2016-03-22,837.93678970805
2016-03-23,849.8795150559093
2016-03-24,832.2049546961276
2016-03-25,830.6957964861285
2016-03-26,830.1043716559014
2016-03-27,855.3810025468707
2016-03-28,863.386151327444
2016-03-29,839.0023165146318
2016-03-30,837.6404847970657
2016-03-31,837.1920388897598
2016-04-01,832.294635254249
2016-04-02,846.1568685212084
2016-04-03,841.2374281996944
2016-04-04,835.222602045306
2016-04-05,838.8556514797109
2016-04-06,841.4728707662831
2016-04-07,833.77295215432
2016-04-08,833.649811883944
2016-04-09,816.7359991311595
2016-04-10,815.2422030461547
2016-04-11,810.8340072781684
2016-04-12,825.4254559171343
2016-04-13,823.5947649155908
2016-04-14,823.1115935892244
2016-04-15,824.5624062548283
2016-04-16,823.5052733430532
2016-04-17,804.2002129408555
2016-04-18,803.7762479214307
2016-04-19,806.1087083331878
2016-04-20,836.631931352701
2016-04-21,872.025823072378
2016-04-22,879.1971284871183
2016-04-23,880.6451552194274
2016-04-24,920.9800406546474
2016-04-25,951.6342866033167
2016-04-26,975.5540836037005
2016-04-27,944.0466454321283
2016-04-28,941.6899942128828
2016-04-29,942.3377800180087
2016-04-30,944.6872823768024
2016-05-01,938.0589426987099
2016-05-02,940.3883792205478
2016-05-03,940.6691863584048
2016-05-04,940.8785687290875
2016-05-05,936.5130669468741
2016-05-06,940.9598888237734
2016-05-07,961.38766445104
2016-05-08,954.1938450970403
2016-05-09,953.2671363815529
2016-05-10,939.6841452470331
2016-05-11,939.0327853160356
2016-05-12,938.1856665251574
2016-05-13,937.2456256987678
2016-05-14,938.973087529723
2016-05-15,942.912550866429
2016-05-16,936.2294595403005
2016-05-17,934.8402919584502
2016-05-18,934.0858861881455
2016-05-19,907.9490782296249
2016-05-20,906.7822047990301
2016-05-21,903.5444148925844
2016-05-22,896.2473022289591
2016-05-23,895.6280342949806
2016-05-24,909.6722671954903
2016-05-25,921.3115480327288
2016-05-26,932.3743218247455
2016-05-27,1001.7867202123782
2016-05-28,1271.7764772496973
2016-05-29,1453.6934491538077
2016-05-30,1455.2259070445916
2016-05-31,1454.5094924030518
2016-06-01,1450.578097783221
2016-06-02,1459.8104700726442
2016-06-03,1559.9512332942268
2016-06-04,1667.2212775424996
2016-06-05,1657.7969415218156
2016-06-06,1656.4366585990144
2016-06-07,1657.7191636620144
2016-06-08,1656.13943053997
2016-06-09,1652.141302350789
2016-06-10,1650.584482826883
2016-06-11,1659.3829424978733
2016-06-12,1956.2307763312083
2016-06-13,2204.374480388143
2016-06-14,2170.680959867186
2016-06-15,2166.087474650457
2016-06-16,2441.9353217547014
2016-06-17,2503.7550381983447
2016-06-18,2542.0811993255784
2016-06-19,2540.525922552487
2016-06-20,2508.0737520559805
2016-06-21,2574.858000840058
2016-06-22,2635.866397693956
2016-06-23,2641.4152057584815
2016-06-24,2655.9197108177104
2016-06-25,2730.721974125041
2016-06-26,2600.8496351962576
2016-06-27,2565.201958795771
2016-06-28,2563.313383387429
2016-06-29,2503.200780775611
2016-06-30,2507.533395505318
2016-07-01,2612.4802010156086
