Date,Equity
2016-01-01,1000.0
2016-01-02,1006.8693824462873
2016-01-03,988.5865977182699
2016-01-04,985.5845249817622
2016-01-05,985.0743029859694
2016-01-06,973.3137152280399
2016-01-07,1032.064657363714
2016-01-08,1077.0137398957775
2016-01-09,1057.306166499255
2016-01-10,1010.3947475773123
2016-01-11,1004.3971566066101
2016-01-12,987.09186467327
2016-01-13,985.1252140411008
2016-01-14,976.211184248284
2016-01-15,1046.7650592628538
2016-01-16,1056.9229120002833
2016-01-17,1055.3045660677712
2016-01-18,1054.84131395978
2016-01-19,1051.2045632468373
2016-01-20,1070.7978818691538
2016-01-21,1123.7287270458298
2016-01-22,1043.318584862235
2016-01-23,1023.4259123910866
2016-01-24,1056.005655956859
2016-01-25,1039.2008425786978
2016-01-26,1037.5195807779137
2016-01-27,1036.4014087186758
2016-01-28,1036.0060563449465
2016-01-29,1035.222213527241
2016-01-30,1033.6574875686342
2016-01-31,1032.9188351815367
2016-02-01,1032.113952510506
2016-02-02,1030.9044810385144
2016-02-03,1029.540491460828
2016-02-04,1033.506905938557
2016-02-05,1032.1740559320024
2016-02-06,989.1924484970051
2016-02-07,981.953198021007
2016-02-08,980.6896957602315
2016-02-09,979.6917356501303
2016-02-10,979.2005356102643
2016-02-11,976.9932093309994
2016-02-12,976.190089399408
2016-02-13,975.9159004717668
2016-02-14,965.7749174748344
2016-02-15,972.5782791747419
2016-02-16,976.2233658895618
2016-02-17,1011.6116567883423
2016-02-18,1038.6181459050522
2016-02-19,1008.4736935649122
2016-02-20,1060.2866514495474
2016-02-21,1073.6578160966683
2016-02-22,1060.5263549545696
2016-02-23,1027.8199117042923
2016-02-24,1024.027047476656
2016-02-25,1023.4509661069258
2016-02-26,1023.6069606581342
2016-02-27,1015.542770769937
2016-02-28,1009.6060394048936
2016-02-29,1033.2014012827908
2016-03-01,1026.41907185635
2016-03-02,1007.8507541685217
2016-03-03,1007.9486191398942
2016-03-04,1010.0790997373226
2016-03-05,1003.9619574620752
2016-03-06,1004.1088934994829
2016-03-07,1000.8474182669702
2016-03-08,1000.239415848832
2016-03-09,999.4672105215279
2016-03-10,1003.5898967578551
2016-03-11,1021.0134356649887
2016-03-12,1006.704781822459
2016-03-13,999.123099078078
2016-03-14,1001.839765272866
2016-03-15,998.6989382091238
2016-03-16,997.2359840214353
2016-03-17,1005.0589074263293
2016-03-18,983.5482565864506
2016-03-19,967.1310245369428
2016-03-20,978.3785606234811
2016-03-21,967.6860755374141
2016-03-22,968.0747926274198
2016-03-23,967.5842039688855
2016-03-24,953.505697229497
2016-03-25,951.3935747014209
2016-03-26,950.9251609328995
2016-03-27,971.1060007857991
