Date,Equity
2016-01-01,1000.0
2016-01-02,1006.8693824462873
2016-01-03,988.5891331022146
2016-01-04,976.0700680600547
2016-01-05,975.5800412195836
2016-01-06,963.8208466402158
2016-01-07,968.7856664805198
2016-01-08,1011.447393518001
2016-01-09,992.7245447390665
2016-01-10,970.254838006658
2016-01-11,964.2315816143431
2016-01-12,946.9257408348625
2016-01-13,944.9585413490531
2016-01-14,936.0426858614967
2016-01-15,886.7167620506493
2016-01-16,896.8851672826261
2016-01-17,895.4706543974377
2016-01-18,882.9934469299943
2016-01-19,879.4001348446048
2016-01-20,966.3070091246099
2016-01-21,1022.491530158217
2016-01-22,936.7712290741863
2016-01-23,934.2153951943081
2016-01-24,936.3217776088227
2016-01-25,919.29852346875
2016-01-26,917.6156232518571
2016-01-27,916.4925834855693
2016-01-28,890.2450232042371
2016-01-29,889.400145258319
2016-01-30,887.8904962664941
2016-01-31,869.3371657249857
2016-02-01,868.5958718208586
2016-02-02,867.4836584664062
2016-02-03,854.9128585618296
2016-02-04,859.2974212282779
2016-02-05,887.4088868567236
2016-02-06,843.6376967860654
2016-02-07,842.4774331739129
2016-02-08,841.2042418693612
2016-02-09,840.1962473931559
2016-02-10,839.6770631649783
2016-02-11,834.0953347088814
2016-02-12,833.3404253841052
2016-02-13,856.1861568447611
2016-02-14,847.9579109986719
2016-02-15,855.3625803118027
2016-02-16,859.141235046196
2016-02-17,895.5297638461279
2016-02-18,923.3381504639215
2016-02-19,893.9582915508818
2016-02-20,896.447355309963
2016-02-21,899.5406970133853
2016-02-22,888.9964624479492
2016-02-23,890.5219712534149
2016-02-24,886.7587552187046
2016-02-25,886.1626770884349
2016-02-26,896.426838097515
2016-02-27,903.9957735305825
2016-02-28,897.8017316262465
2016-02-29,897.2263695397085
2016-03-01,890.4602837220831
2016-03-02,894.25205841654
2016-03-03,894.3549390595944
2016-03-04,896.4709828385477
2016-03-05,890.535369095536
2016-03-06,890.6651620088389
2016-03-07,913.3605953380206
2016-03-08,922.4096731314671
2016-03-09,921.7013711783212
2016-03-10,926.2373058874136
2016-03-11,945.1260526887219
2016-03-12,929.4416454307365
2016-03-13,928.4351614760999
2016-03-14,926.4399851426955
2016-03-15,923.0238060044039
2016-03-16,921.5046342836398
2016-03-17,929.1638730702094
2016-03-18,908.0460905079567
2016-03-19,906.4365717936563
2016-03-20,906.2720617118075
2016-03-21,895.0183417411372
2016-03-22,895.4070588311429
2016-03-23,904.942120235961
2016-03-24,890.8307668032294
2016-03-25,889.6258562168441
2016-03-26,889.1536631530088
2016-03-27,909.3345030059083
2016-03-28,915.7258067455655
2016-03-29,896.257774495558
2016-03-30,895.170489251043
