Date,Equity
2016-01-01,1000.0
2016-01-02,1006.8693824462873
2016-01-03,988.5865977182699
2016-01-04,985.5845249817622
2016-01-05,985.0743029859694
2016-01-06,973.3131313043965
2016-01-07,979.6173029914332
2016-01-08,1021.503102836514
2016-01-09,1003.118821473431
2016-01-10,976.0634719111873
2016-01-11,968.8116483428723
2016-01-12,951.2899903832814
2016-01-13,948.8347697306406
2016-01-14,937.7204899814701
2016-01-15,885.2827313252167
2016-01-16,898.8324728806133
2016-01-17,896.9466035275631
2016-01-18,883.8054122417243
2016-01-19,878.8589739403578
2016-01-20,971.1453920234849
2016-01-21,1030.807474653279
2016-01-22,939.7754990101538
2016-01-23,917.5638680294644
2016-01-24,920.4068883931138
2016-01-25,903.7064151546682
2016-01-26,897.258270524259
2016-01-27,895.788941586634
2016-01-28,869.4389628914344
2016-01-29,868.3000830125291
2016-01-30,866.2725039173478
2016-01-31,846.8833961771261
2016-02-01,845.8470412995256
2016-02-02,844.2989607989673
2016-02-03,831.0299872410222
2016-02-04,837.171183609847
2016-02-05,866.1005408712981
2016-02-06,821.0507737543965
2016-02-07,819.452762190934
2016-02-08,817.6996660475031
2016-02-09,816.3107667988168
2016-02-10,815.5975238101868
2016-02-11,809.7851740729524
2016-02-12,808.7490332994078
2016-02-13,808.4823730069074
2016-02-14,798.1405082165206
2016-02-15,805.0743784428452
2016-02-16,808.7882054377201
2016-02-17,844.8660567953146
2016-02-18,872.3981785881232
2016-02-19,841.6634533417774
2016-02-20,844.9493327702729
2016-02-21,848.222898456509
2016-02-22,837.0556218607317
2016-02-23,839.0177831826495
2016-02-24,834.162774883715
2016-02-25,833.3912407354197
2016-02-26,833.5651806620517
2016-02-27,841.5405060920405
2016-02-28,834.7824678605051
2016-02-29,861.785912558041
2016-03-01,854.2474192912039
2016-03-02,832.8344785342969
2016-03-03,832.9563959586932
2016-03-04,835.7501067135381
2016-03-05,827.7026409837079
2016-03-06,827.89168219649
2016-03-07,854.9794701649741
2016-03-08,865.7779256953077
2016-03-09,864.929227363047
2016-03-10,870.3436655257783
2016-03-11,892.8907165938119
2016-03-12,874.1686099798812
2016-03-13,864.5315515116224
2016-03-14,861.8166494568748
2016-03-15,857.8176345337581
2016-03-16,856.039276275546
2016-03-17,865.0052610694593
2016-03-18,840.2845645863654
2016-03-19,838.0735483436201
2016-03-20,837.8475587606276
2016-03-21,824.365406867317
2016-03-22,824.904731264829
2016-03-23,836.4063123273338
2016-03-24,819.3846206446558
2016-03-25,817.7241100766228
2016-03-26,817.0733716886377
2016-03-27,841.7294227111154
2016-03-28,849.5380328707415
2016-03-29,825.7528584200134
2016-03-30,803.7291037390748
